Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,District of Columbia,Place of death unknown,0,0,0,0,0,0,
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,District of Columbia,Total - All Places of Death,116,587,138,106,0,148,
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,District of Columbia,"Healthcare setting, inpatient",92,312,111,85,0,118,
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,District of Columbia,"Healthcare setting, outpatient or emergency room",,40,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,District of Columbia,Decedent's home,,138,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,District of Columbia,Hospice facility,,16,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,District of Columbia,Nursing home/long term care facility,11,35,12,10,0,13,
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,District of Columbia,Other,,46,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,District of Columbia,Place of death unknown,0,0,0,0,0,0,
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,District of Columbia,Total - All Places of Death,43,565,53,30,0,66,
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,District of Columbia,"Healthcare setting, inpatient",30,275,43,24,0,49,
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,District of Columbia,"Healthcare setting, outpatient or emergency room",,40,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,District of Columbia,Decedent's home,,155,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,District of Columbia,Hospice facility,,25,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,District of Columbia,Nursing home/long term care facility,,29,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,District of Columbia,Other,0,41,0,0,0,0,
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,District of Columbia,Place of death unknown,0,0,0,0,0,0,
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,District of Columbia,Total - All Places of Death,37,546,61,33,0,65,
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,District of Columbia,"Healthcare setting, inpatient",32,262,56,31,0,57,
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,District of Columbia,"Healthcare setting, outpatient or emergency room",,43,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,District of Columbia,Decedent's home,,149,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,District of Columbia,Hospice facility,,18,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,District of Columbia,Nursing home/long term care facility,0,25,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,District of Columbia,Other,0,49,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,District of Columbia,Place of death unknown,0,0,0,0,0,0,
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,District of Columbia,Total - All Places of Death,28,520,56,23,0,61,
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,District of Columbia,"Healthcare setting, inpatient",23,267,46,19,0,50,
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,District of Columbia,"Healthcare setting, outpatient or emergency room",,33,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,District of Columbia,Decedent's home,,147,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,District of Columbia,Hospice facility,,12,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,District of Columbia,Nursing home/long term care facility,,25,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,District of Columbia,Other,,36,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,District of Columbia,Place of death unknown,0,0,0,0,0,0,
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,District of Columbia,Total - All Places of Death,37,563,67,33,0,71,
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,District of Columbia,"Healthcare setting, inpatient",30,285,58,28,0,60,
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,District of Columbia,"Healthcare setting, outpatient or emergency room",0,28,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,District of Columbia,Decedent's home,,145,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,District of Columbia,Hospice facility,,18,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,District of Columbia,Nursing home/long term care facility,,53,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,District of Columbia,Other,0,34,0,0,0,0,
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,District of Columbia,Place of death unknown,0,0,0,0,0,0,
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,District of Columbia,Total - All Places of Death,61,566,82,48,,96,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,District of Columbia,"Healthcare setting, inpatient",43,295,65,38,,71,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,District of Columbia,"Healthcare setting, outpatient or emergency room",,42,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,District of Columbia,Decedent's home,,134,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,District of Columbia,Hospice facility,,21,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,District of Columbia,Nursing home/long term care facility,,42,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,District of Columbia,Other,0,32,0,0,0,0,
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,District of Columbia,Place of death unknown,0,0,0,0,0,0,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,District of Columbia,Total - All Places of Death,133,720,151,117,0,167,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,District of Columbia,"Healthcare setting, inpatient",97,369,119,89,0,127,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,District of Columbia,"Healthcare setting, outpatient or emergency room",,38,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,District of Columbia,Decedent's home,14,181,12,11,0,15,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,District of Columbia,Hospice facility,,25,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,District of Columbia,Nursing home/long term care facility,10,56,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,District of Columbia,Other,,51,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,District of Columbia,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,District of Columbia,Total - All Places of Death,185,770,142,121,0,206,
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,District of Columbia,"Healthcare setting, inpatient",126,386,114,97,0,143,
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,District of Columbia,"Healthcare setting, outpatient or emergency room",12,53,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,District of Columbia,Decedent's home,13,203,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,District of Columbia,Hospice facility,,16,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,District of Columbia,Nursing home/long term care facility,28,68,,,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,District of Columbia,Other,,44,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,District of Columbia,Place of death unknown,0,0,0,0,0,0,
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,District of Columbia,Total - All Places of Death,121,607,98,67,0,152,
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,District of Columbia,"Healthcare setting, inpatient",86,320,79,53,0,112,
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,District of Columbia,"Healthcare setting, outpatient or emergency room",,37,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,District of Columbia,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,District of Columbia,Decedent's home,15,155,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,District of Columbia,Hospice facility,,14,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,District of Columbia,Nursing home/long term care facility,13,47,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,District of Columbia,Other,,34,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,District of Columbia,Place of death unknown,0,0,0,0,0,0,
06/28/2023,03/01/2021,03/31/2021,By Month,2021,3,District of Columbia,Total - All Places of Death,67,604,56,30,0,93,
06/28/2023,03/01/2021,03/31/2021,By Month,2021,3,District of Columbia,"Healthcare setting, inpatient",56,312,46,24,0,78,
06/28/2023,03/01/2021,03/31/2021,By Month,2021,3,District of Columbia,"Healthcare setting, outpatient or emergency room",,36,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
